Engine_RPM,EGT1,EGT2,EGT3,CHT,Fuel_Flow,Oil_Temp,Oil_Pressure,Battery_Voltage,Battery_Current,Alternator_Temp,EFI_Fuel_Temp,EFI_Water_Temp,MAP_Injector,Operating_State,Robust_Anomaly_Score,Health_State
4616.0,1359.8628,1372.8431,1366.353,202.51373,41.835293,206.6,56.0,27.7,0.0,191.62746,-2.2000008,186.79999,31.331566,CRUISE,0.674021869889492,Normal
3264.0,1294.9608,1307.9412,1275.4902,200.5098,7.9686275,149.0,62.0,27.6,0.0,120.23529,84.2,192.2,28.951988,CRUISE_LOW,0.7510402202797832,Normal
4740.0,1366.353,1359.8628,1359.8628,200.5098,46.815685,201.19998,57.0,27.7,0.0,185.13727,-2.2000008,186.79999,32.223907,CRUISE,0.7708277677912984,Normal
5444.0,1256.0197,1269.0,1269.0,194.49803,62.75294,177.79999,58.0,27.6,0.0,165.66667,12.199997,179.59999,35.495823,HIGH,0.9383091725109386,Normal
3528.0,1243.0393,1256.0197,1210.5883,212.53333,7.9686275,159.79999,61.0,27.6,0.0,146.19608,84.2,174.2,10.212823,CRUISE_LOW,0.4506634182322142,Normal
5380.0,1301.451,1307.9412,1320.9216,210.52942,58.768627,145.4,65.0,27.8,0.0,211.09805,73.399994,183.2,34.90093,HIGH,0.7961912484323967,Normal
4548.0,1340.3922,1366.353,1366.353,202.51373,38.847057,215.6,56.0,27.7,0.0,204.60785,-2.2000008,186.79999,31.034119,CRUISE,0.7207189983119556,Normal
3108.0,1281.9805,1281.9805,1269.0,210.52942,6.972549,172.4,65.0,27.900002,0.0,217.58826,73.399994,183.2,14.079635,CRUISE_LOW,0.6828345363339111,Normal
5436.0,1314.4314,1333.902,1333.902,210.52942,58.768627,159.79999,63.0,27.900002,0.0,191.62746,51.799995,179.59999,34.60348,HIGH,0.5692849970257277,Normal
4716.0,1359.8628,1359.8628,1372.8431,202.51373,41.835293,206.6,57.0,27.7,0.0,217.58826,-2.2000008,186.79999,31.629013,CRUISE,0.982763910550124,Normal
4912.0,1333.902,1359.8628,1346.8823,200.5098,49.80392,199.4,56.0,28.0,0.0,178.64706,1.3999977,183.2,33.11625,CRUISE,0.8219765623896296,Normal
5356.0,1256.0197,1281.9805,1288.4706,210.52942,60.760784,145.4,63.0,27.7,0.0,185.13727,66.2,172.4,34.306034,HIGH,0.6123981678867916,Normal
5456.0,1281.9805,1294.9608,1294.9608,200.5098,62.75294,165.2,61.0,27.6,0.0,172.15686,42.799995,168.79999,34.90093,HIGH,0.522140423553636,Normal
5360.0,1275.4902,1294.9608,1294.9608,202.51373,62.75294,159.79999,61.0,27.7,0.0,191.62746,50.0,172.4,34.60348,HIGH,0.317372570626819,Normal
5424.0,1301.451,1327.4117,1320.9216,210.52942,59.764706,143.59999,66.0,27.900002,0.0,211.09805,66.2,177.79999,35.495823,HIGH,0.6054106171954787,Normal
4708.0,1359.8628,1366.353,1366.353,202.51373,41.835293,203.0,56.0,27.7,0.0,204.60785,-2.2000008,186.79999,31.629013,CRUISE,0.9166572235776403,Normal
4648.0,1333.902,1372.8431,1359.8628,200.5098,41.835293,181.4,56.0,27.8,0.0,165.66667,1.3999977,183.2,32.521355,CRUISE,0.4164342253505378,Normal
4616.0,1333.902,1366.353,1359.8628,200.5098,41.835293,179.59999,56.0,27.8,0.0,165.66667,1.3999977,183.2,31.92646,CRUISE,0.5509352589124479,Normal
5456.0,1256.0197,1288.4706,1269.0,202.51373,61.756863,145.4,63.0,27.7,0.0,191.62746,64.399994,170.59999,34.306034,HIGH,0.6771741419986911,Normal
4068.0,1307.9412,1333.902,1320.9216,202.51373,32.870586,167.0,56.0,27.7,0.0,185.13727,-2.2000008,183.2,31.629013,CRUISE,0.884788100791176,Normal
4560.0,1333.902,1359.8628,1353.3726,200.5098,41.835293,186.79999,57.0,27.7,0.0,172.15686,1.3999977,183.2,32.223907,CRUISE,0.56315505485306,Normal
3712.0,1249.5294,1249.5294,1223.5686,210.52942,7.9686275,158.0,61.0,27.6,0.0,152.68628,84.2,170.59999,9.915376,CRUISE_LOW,0.4406592720407944,Normal
4632.0,1366.353,1366.353,1372.8431,200.5098,38.847057,199.4,56.0,27.7,0.0,185.13727,-2.2000008,183.2,31.92646,CRUISE,0.7231453511057746,Normal
3980.0,1275.4902,1275.4902,1262.5099,212.53333,11.952941,152.59999,60.0,27.6,0.0,172.15686,82.399994,172.4,11.105165,CRUISE_LOW,0.6874170605734149,Normal
5444.0,1275.4902,1281.9805,1281.9805,210.52942,61.756863,149.0,65.0,27.7,0.0,191.62746,78.8,183.2,34.90093,HIGH,0.9247516406953482,Normal
5348.0,1301.451,1320.9216,1327.4117,206.52155,59.764706,141.79999,63.0,27.8,0.0,191.62746,66.2,170.59999,35.198376,HIGH,0.617591795052333,Normal
5392.0,1327.4117,1340.3922,1340.3922,212.53333,54.784313,156.2,61.0,27.8,0.0,191.62746,53.6,179.59999,34.90093,HIGH,0.8255279332722679,Normal
5500.0,1256.0197,1275.4902,1262.5099,200.5098,63.74902,174.2,58.0,28.1,0.0,172.15686,19.400002,176.0,34.90093,HIGH,0.9641794092577156,Normal
4596.0,1340.3922,1372.8431,1366.353,198.50586,41.835293,177.79999,57.0,27.8,0.0,165.66667,5.0,183.2,32.223907,CRUISE,0.5144422551354967,Normal
4432.0,1340.3922,1372.8431,1372.8431,204.51764,31.87451,138.2,58.0,27.6,0.0,159.17648,-2.2000008,177.79999,32.223907,CRUISE,0.9677424633040568,Normal
5428.0,1314.4314,1340.3922,1340.3922,206.52155,57.77255,152.59999,62.0,27.8,0.0,185.13727,59.0,174.2,34.60348,HIGH,0.6173820429465212,Normal
3604.0,1269.0,1275.4902,1197.6079,184.47842,7.9686275,149.0,67.0,27.5,0.0,139.70589,50.0,145.4,7.833247,CRUISE_LOW,0.901465467209684,Normal
4580.0,1353.3726,1366.353,1353.3726,202.51373,3.9843137,201.19998,56.0,27.7,0.0,204.60785,-2.2000008,183.2,31.629013,CRUISE,0.7745630407048109,Normal
4404.0,1333.902,1359.8628,1353.3726,202.51373,38.847057,188.59999,56.0,27.7,0.0,198.11765,-2.2000008,183.2,31.629013,CRUISE,0.6358029100688938,Normal
4664.0,1333.902,1366.353,1353.3726,198.50586,39.843136,181.4,56.0,27.8,0.0,185.13727,1.3999977,183.2,32.521355,CRUISE,0.5840089898565933,Normal
